elapsed_min,pressure_hpa,temperature_c,gps_alt_km
139.08333,837.26,14.79,1.725
139.25,843.08,14.78,1.67
139.41667,849.53,14.78,1.608
139.58333,855.33,14.77,1.548
139.75,860.7,14.77,1.491
139.91667,865.42,14.76,1.445
140.08333,870.36,14.76,1.399
140.25,875.32,14.76,1.345
140.41667,880.94,14.75,1.294
140.58333,886.99,14.75,1.23
140.75,892.76,14.75,1.176
140.91667,897.33,14.76,1.133
141.08333,901.81,14.76,1.086
141.25,906.63,14.76,1.044
141.41667,911.32,14.77,0.9965
141.58333,915.61,14.76,0.958
141.75,920.33,14.76,0.912
141.91667,925.15,14.76,0.868
142.08333,928.82,14.76,0.834
142.25,934.94,14.76,0.778
142.41667,940.37,14.76,0.723
142.58333,943.51,14.76,0.691
142.75,943.52,14.76,0.692
142.91667,943.52,14.78,0.692
143.08333,943.52,14.79,0.693
143.25,943.53,14.8,0.693
143.41667,943.52,14.82,0.692
143.58333,943.52,14.83,0.692
143.75,943.52,14.85,0.693
143.91667,943.51,14.87,0.693
144.08333,943.48,14.89,0.693
144.25,943.5,14.91,0.692
144.41667,943.49,14.93,0.692
144.58333,943.49,14.95,0.691
144.75,943.5,14.97,0.69
144.91667,943.49,15,0.687
145.08333,943.49,15.03,0.685
145.25,943.5,15.05,0.689
145.41667,943.51,15.08,0.686
145.58333,943.5,15.11,0.688
145.75,943.51,15.14,0.69
145.91667,943.52,15.17,0.691
146.08333,943.52,15.2,0.691
146.25,943.53,15.23,0.692
146.41667,943.53,15.27,0.693
146.58333,943.52,15.3,0.692
146.75,943.52,15.33,0.693
146.91667,943.53,15.37,0.693
147.08333,943.52,15.41,0.695
147.25,943.52,15.44,0.697
147.41667,943.53,15.49,0.693
147.58333,943.54,15.54,0.693
147.75,943.54,15.58,0.692
147.91667,943.51,15.63,0.692
148.08333,943.53,15.67,0.693
148.25,943.54,15.72,0.692
148.41667,943.54,15.77,0.692
148.58333,943.55,15.81,0.691
148.75,943.52,15.87,0.691
148.91667,943.52,15.92,0.692
149.08333,943.53,15.97,0.692
149.25,943.53,16.02,0.691
149.41667,943.53,16.07,0.692
149.58333,943.55,16.12,0.692
149.75,943.55,16.185,0.692
149.91667,943.54,16.24,0.693
150.08333,943.54,16.29,0.694
150.25,943.56,16.35,0.694
150.41667,943.55,16.4,0.694
150.58333,943.55,16.46,0.694
150.75,943.55,16.525,0.694
150.91667,943.54,16.58,0.693
151.08333,943.54,16.64,0.692
151.25,943.56,16.7,0.692
151.41667,943.54,16.76,0.692
151.58333,943.56,16.82,0.692
151.75,943.54,16.9,0.693
151.91667,943.55,16.96,0.693
152.08333,943.55,17.02,0.693
152.25,943.55,17.08,0.693
152.41667,943.57,17.15,0.694
152.58333,943.54,17.21,0.695
152.75,943.55,17.28,0.695
152.91667,943.55,17.36,0.695
153.08333,943.54,17.42,0.694
153.25,943.52,17.49,0.693
153.41667,943.51,17.56,0.692
153.58333,943.52,17.62,0.692
153.75,943.53,17.7,0.692
153.91667,943.53,17.765,0.692
154.08333,943.53,17.85,0.692
154.25,943.54,17.92,0.693
154.41667,943.54,17.99,0.693
154.58333,943.53,18.07,0.692
154.75,943.52,18.14,0.692
154.91667,943.53,18.21,0.692
155.08333,943.53,18.29,0.692
155.25,943.53,18.35,0.692
155.41667,943.525,18.43,0.693
155.58333,943.51,18.51,0.693
155.75,943.51,18.58,0.693
155.91667,943.5,18.65,0.693
156.08333,943.5,18.73,0.692
156.25,943.52,18.8,0.692
156.41667,943.51,18.88,0.692
156.58333,943.5,18.955,0.691
156.75,943.47,19.03,0.693
156.91667,943.47,19.09,0.694
157.08333,943.47,19.15,0.693
157.25,943.47,19.215,0.692
157.41667,943.47,19.29,0.691
157.58333,943.45,19.36,0.692
157.75,943.45,19.44,0.691
157.91667,943.44,19.5,0.691
158.08333,943.43,19.56,0.691
158.25,943.41,19.63,0.691
158.41667,943.42,19.69,0.691
158.58333,943.42,19.75,0.691
158.75,943.43,19.81,0.691
158.91667,943.41,19.87,0.691
159.08333,943.42,19.93,0.691
159.25,943.415,19.99,0.691
159.41667,943.43,20.05,0.69
159.58333,943.42,20.1,0.69
159.75,943.42,20.16,0.69
159.91667,943.4,20.23,0.691
160.08333,943.41,20.29,0.691
160.25,943.4,20.35,0.691
160.41667,943.41,20.4,0.691
160.58333,943.41,20.47,0.691
160.75,943.4,20.53,0.691
160.91667,943.4,20.59,0.69
161.08333,943.39,20.65,0.69
161.25,943.4,20.71,0.69
161.41667,943.34,20.77,0.691
161.58333,943.37,20.83,0.691
161.75,943.4,20.89,0.692
161.91667,943.39,20.96,0.693
162.08333,943.39,21.02,0.692
162.25,943.4,21.09,0.692
162.41667,943.41,21.15,0.693
162.58333,943.4,21.21,0.693
162.75,943.39,21.27,0.695
162.91667,943.38,21.33,0.696
163.08333,943.37,21.39,0.695
163.25,943.38,21.455,0.695
163.41667,943.38,21.52,0.696
163.58333,943.39,21.58,0.695
163.75,943.38,21.64,0.694
163.91667,943.39,21.7,0.695
164.08333,943.38,21.75,0.695
164.25,943.37,21.8,0.695
164.41667,943.37,21.86,0.694
164.58333,943.37,21.91,0.693
164.75,943.38,21.97,0.693
164.91667,943.39,22.02,0.694
165.08333,943.38,22.07,0.692
165.25,943.39,22.12,0.694
165.41667,943.4,22.18,0.695
165.58333,943.39,22.23,0.695
165.75,943.39,22.28,0.695
165.91667,943.4,22.33,0.695
166.08333,943.39,22.38,0.6955
166.25,943.39,22.44,0.695
166.41667,943.38,22.49,0.695
166.58333,943.39,22.54,0.695
166.75,943.4,22.59,0.694
166.91667,943.39,22.64,0.693
167.08333,943.4,22.69,0.693
167.25,943.4,22.74,0.693
167.41667,943.4,22.79,0.692
167.58333,943.4,22.84,0.692
167.75,943.39,22.89,0.692
167.91667,943.39,22.94,0.692
168.08333,943.38,22.99,0.693
168.25,943.36,23.04,0.694
168.41667,943.35,23.09,0.695
168.58333,943.37,23.13,0.695
168.75,943.36,23.18,0.695
168.91667,943.35,23.23,0.694
169.08333,943.35,23.27,0.693
169.25,943.36,23.32,0.694
169.41667,943.34,23.36,0.695
169.58333,943.33,23.41,0.695
169.75,943.33,23.45,0.697
169.91667,943.33,23.5,0.696
170.08333,943.33,23.54,0.695
170.25,943.33,23.58,0.695
170.41667,943.33,23.62,0.696
170.58333,943.33,23.67,0.695
170.75,943.33,23.71,0.695
170.91667,943.33,23.75,0.694
171.08333,943.34,23.79,0.694
171.25,943.33,23.83,0.693
171.41667,943.34,23.87,0.694
171.58333,943.34,23.91,0.693
171.75,943.33,23.94,0.694
171.91667,943.31,23.98,0.694
172.08333,943.32,24.02,0.694
172.25,943.32,24.06,0.694
172.41667,943.33,24.09,0.694
172.58333,943.3,24.13,0.694
172.75,943.31,24.16,0.694
172.91667,943.31,24.2,0.695
173.08333,943.31,24.23,0.695
173.25,943.31,24.27,0.696
173.41667,943.32,24.3,0.695
173.58333,943.31,24.34,0.695
173.75,943.31,24.37,0.694
173.91667,943.3,24.4,0.695
174.08333,943.31,24.44,0.696
174.25,943.3,24.47,0.696
174.41667,943.29,24.5,0.697
174.58333,943.31,24.53,0.696
174.75,943.31,24.57,0.696
174.91667,943.3,24.6,0.695
175.08333,943.3,24.63,0.695
175.25,943.28,24.66,0.695
175.41667,943.27,24.69,0.695
175.58333,943.26,24.73,0.695
175.75,943.28,24.76,0.695
175.91667,943.26,24.78,0.693
176.08333,943.27,24.8,0.693
176.25,943.28,24.82,0.694
176.41667,943.285,24.84,0.694
176.58333,943.28,24.87,0.695
176.75,943.29,24.89,0.695
176.91667,943.28,24.91,0.694
177.08333,943.28,24.94,0.694
177.25,943.28,24.96,0.695
177.41667,943.28,24.99,0.697
177.58333,943.27,25.01,0.698
177.75,943.28,25.03,0.696
177.91667,943.28,25.06,0.695
178.08333,943.27,25.09,0.696
178.25,943.28,25.12,0.696
178.41667,943.28,25.14,0.696
178.58333,943.28,25.17,0.696
178.75,943.28,25.2,0.696
178.91667,943.27,25.22,0.697
179.08333,943.27,25.25,0.696
179.25,943.27,25.27,0.695
179.41667,943.25,25.3,0.695
179.58333,943.26,25.33,0.694
179.75,943.25,25.35,0.692
179.91667,943.26,25.38,0.691
180.08333,943.26,25.41,0.691
180.25,943.24,25.43,0.692
180.41667,943.24,25.46,0.691
180.58333,943.24,25.49,0.691
180.75,943.24,25.51,0.691
180.91667,943.24,25.54,0.691
181.08333,943.23,25.56,0.692
181.25,943.24,25.59,0.692
181.41667,943.23,25.62,0.693
181.58333,943.24,25.64,0.693
181.75,943.23,25.67,0.692
181.91667,943.22,25.695,0.692
182.08333,943.235,25.72,0.694
182.25,943.24,25.75,0.694
182.41667,943.23,25.77,0.6945
182.58333,943.22,25.8,0.694
182.75,943.22,25.82,0.694
182.91667,943.23,25.85,0.694
183.08333,943.2,25.86,0.694
